distribution,a_plummer,a_over_eps,N,variant,relative,softened_multipoles,mac_softening,mean_err,max_err,p95_err,rms_err,mean_angular_err,max_angular_err,time_bh_ms,time_direct_ms,opened_nodes,leaves_visited,max_depth,mean_depth
plummer_a1,0.050,1.00,200,V1_geom_bare,0,0,bare,1.359199e-1,2.496479e0,3.962399e-1,2.554223e-1,1.140954e-2,4.445857e-1,2.506,0.698,7468,13208,7,3.645
plummer_a1,0.050,1.00,200,V2_geom_soft,0,1,bare,9.384652e-3,1.435094e-2,1.328129e-2,9.565509e-3,1.919879e-6,3.101609e-5,2.476,0.698,7468,13208,7,3.645
plummer_a1,0.050,1.00,200,V3_rel_bare,1,0,bare,4.574875e-6,3.879278e-5,2.819931e-5,9.506274e-6,2.319773e-11,2.860489e-10,8.266,0.698,31512,39066,7,5.156
plummer_a1,0.050,1.00,200,V4_rel_soft,1,1,bare,1.586559e-6,8.471162e-6,6.952103e-6,2.814920e-6,1.884171e-13,1.383893e-12,8.205,0.698,31512,39066,7,5.156
plummer_a1,0.050,1.00,200,V5_rel_soft_consistent,1,1,consistent,2.610352e-5,4.597808e-5,4.098557e-5,2.829864e-5,5.845879e-11,3.437334e-10,7.800,0.698,27990,36816,7,5.012
plummer_a2,0.100,2.00,200,V1_geom_bare,0,0,bare,3.914578e-2,2.371554e-1,1.249080e-1,5.605034e-2,7.391463e-4,1.985484e-2,2.242,0.694,6313,12739,7,3.270
plummer_a2,0.100,2.00,200,V2_geom_soft,0,1,bare,7.997814e-3,1.951262e-2,1.147031e-2,8.298219e-3,2.464020e-6,3.636195e-5,2.202,0.694,6313,12739,7,3.270
plummer_a2,0.100,2.00,200,V3_rel_bare,1,0,bare,7.841483e-6,2.764200e-5,2.137527e-5,1.056454e-5,3.589736e-11,2.103109e-10,7.685,0.694,28355,37557,7,4.776
plummer_a2,0.100,2.00,200,V4_rel_soft,1,1,bare,3.912499e-6,9.674840e-6,8.197856e-6,4.810634e-6,2.257072e-12,1.070477e-11,7.616,0.694,28355,37557,7,4.776
plummer_a2,0.100,2.00,200,V5_rel_soft_consistent,1,1,consistent,1.019450e-5,2.028133e-5,1.692198e-5,1.134390e-5,1.899601e-11,1.905620e-10,7.517,0.694,26862,36431,7,4.715
plummer_a6,0.300,6.00,200,V1_geom_bare,0,0,bare,1.308879e-2,2.057563e-1,3.652614e-2,2.711025e-2,2.235767e-4,1.738815e-2,2.153,0.699,6193,12281,6,3.057
plummer_a6,0.300,6.00,200,V2_geom_soft,0,1,bare,3.737364e-3,4.756675e-2,7.790519e-3,5.317851e-3,6.260048e-6,6.288356e-4,2.198,0.699,6193,12281,6,3.057
plummer_a6,0.300,6.00,200,V3_rel_bare,1,0,bare,7.974458e-6,8.757280e-5,1.755617e-5,1.080491e-5,3.237780e-11,2.747990e-9,6.513,0.699,22530,33229,6,4.280
plummer_a6,0.300,6.00,200,V4_rel_soft,1,1,bare,5.892740e-6,7.241565e-5,1.025060e-5,7.911741e-6,1.865999e-11,2.175255e-9,7.000,0.699,22530,33229,6,4.280
plummer_a6,0.300,6.00,200,V5_rel_soft_consistent,1,1,consistent,6.700389e-6,8.772042e-5,1.121691e-5,9.191459e-6,2.639280e-11,3.499100e-9,6.605,0.699,22097,32907,6,4.259
uniform_sphere,0.000,0.00,200,V1_geom_bare,0,0,bare,3.829828e-3,7.200078e-2,1.992783e-2,9.464358e-3,1.609055e-5,7.538682e-4,2.492,0.705,6417,15847,7,2.840
uniform_sphere,0.000,0.00,200,V2_geom_soft,0,1,bare,1.511928e-3,9.468557e-3,3.832132e-3,1.963139e-3,9.443848e-7,1.784210e-5,2.497,0.705,6417,15847,7,2.840
uniform_sphere,0.000,0.00,200,V3_rel_bare,1,0,bare,9.691936e-6,5.620155e-5,2.441074e-5,1.276974e-5,4.860659e-11,9.555512e-10,5.356,0.705,16810,29119,7,3.630
uniform_sphere,0.000,0.00,200,V4_rel_soft,1,1,bare,7.806137e-6,4.188161e-5,2.347733e-5,1.071945e-5,3.748483e-11,6.746697e-10,5.355,0.705,16810,29119,7,3.630
uniform_sphere,0.000,0.00,200,V5_rel_soft_consistent,1,1,consistent,7.853955e-6,4.188161e-5,2.347733e-5,1.075975e-5,3.779097e-11,6.746697e-10,6.117,0.705,16784,29096,7,3.628
plummer_a1,0.050,1.00,1000,V1_geom_bare,0,0,bare,8.600824e-2,6.396785e-1,2.253496e-1,1.133236e-1,4.016356e-3,2.286993e-1,26.854,17.994,63917,171174,7,4.155
plummer_a1,0.050,1.00,1000,V2_geom_soft,0,1,bare,1.258031e-2,1.835297e-2,1.598103e-2,1.269008e-2,1.088461e-6,2.082463e-5,27.106,17.994,63917,171174,7,4.155
plummer_a1,0.050,1.00,1000,V3_rel_bare,1,0,bare,1.937919e-6,3.540290e-5,1.135218e-5,5.236428e-6,5.708087e-12,1.963023e-10,192.150,17.994,659162,990183,7,5.790
plummer_a1,0.050,1.00,1000,V4_rel_soft,1,1,bare,7.381537e-7,8.026302e-6,4.571521e-6,1.647371e-6,5.508793e-14,1.435074e-12,186.138,17.994,659162,990183,7,5.790
plummer_a1,0.050,1.00,1000,V5_rel_soft_consistent,1,1,consistent,4.026545e-5,1.273904e-4,1.047371e-4,5.103405e-5,1.126705e-10,1.450016e-9,175.743,17.994,572793,920774,7,5.662
plummer_a2,0.100,2.00,1000,V1_geom_bare,0,0,bare,3.343058e-2,4.316241e-1,8.980851e-2,4.638451e-2,5.277467e-4,8.470822e-2,25.800,17.370,61805,168266,7,4.145
plummer_a2,0.100,2.00,1000,V2_geom_soft,0,1,bare,1.234640e-2,3.324576e-2,1.662947e-2,1.261309e-2,1.970517e-6,1.760578e-4,26.578,17.370,61805,168266,7,4.145
plummer_a2,0.100,2.00,1000,V3_rel_bare,1,0,bare,7.252496e-6,3.300608e-5,2.322054e-5,9.921114e-6,2.862116e-11,2.631045e-10,174.522,17.370,591115,941841,7,5.628
plummer_a2,0.100,2.00,1000,V4_rel_soft,1,1,bare,4.634084e-6,2.966537e-5,1.869676e-5,7.013827e-6,2.910026e-12,8.497869e-11,174.393,17.370,591115,941841,7,5.628
plummer_a2,0.100,2.00,1000,V5_rel_soft_consistent,1,1,consistent,1.787891e-5,8.298565e-5,5.411854e-5,2.465269e-5,3.001421e-11,4.757853e-10,171.150,17.370,552514,907656,7,5.570
plummer_a6,0.300,6.00,1000,V1_geom_bare,0,0,bare,9.872232e-3,7.175914e-2,2.524732e-2,1.258354e-2,3.616995e-5,1.342227e-3,29.291,17.945,71586,179846,7,3.770
plummer_a6,0.300,6.00,1000,V2_geom_soft,0,1,bare,5.642957e-3,2.394059e-2,1.039456e-2,6.276379e-3,2.047626e-6,8.081142e-5,29.103,17.945,71586,179846,7,3.770
plummer_a6,0.300,6.00,1000,V3_rel_bare,1,0,bare,6.892017e-6,2.767511e-5,1.689436e-5,8.234720e-6,1.622142e-11,3.546786e-10,147.430,17.945,473607,804348,7,5.125
plummer_a6,0.300,6.00,1000,V4_rel_soft,1,1,bare,6.630982e-6,2.222616e-5,1.460627e-5,7.901075e-6,5.236813e-12,1.503737e-10,147.474,17.945,473607,804348,7,5.125
plummer_a6,0.300,6.00,1000,V5_rel_soft_consistent,1,1,consistent,7.970231e-6,2.474186e-5,1.702682e-5,9.463644e-6,7.080749e-12,1.469787e-10,148.122,17.945,460757,792042,7,5.101
uniform_sphere,0.000,0.00,1000,V1_geom_bare,0,0,bare,3.036994e-3,9.364134e-2,1.013201e-2,7.246883e-3,1.864293e-5,2.636620e-3,26.437,17.318,56224,189416,7,3.209
uniform_sphere,0.000,0.00,1000,V2_geom_soft,0,1,bare,1.629404e-3,2.645874e-2,4.088168e-3,2.283159e-3,1.800582e-6,3.499342e-4,26.507,17.318,56224,189416,7,3.209
uniform_sphere,0.000,0.00,1000,V3_rel_bare,1,0,bare,1.860962e-5,1.430596e-4,3.927940e-5,2.203662e-5,1.654169e-10,9.179942e-9,101.580,17.318,277922,598410,7,4.131
uniform_sphere,0.000,0.00,1000,V4_rel_soft,1,1,bare,1.849152e-5,1.691248e-4,3.932318e-5,2.207582e-5,1.619168e-10,9.253981e-9,99.396,17.318,277922,598410,7,4.131
uniform_sphere,0.000,0.00,1000,V5_rel_soft_consistent,1,1,consistent,1.865524e-5,1.697677e-4,3.956373e-5,2.224187e-5,1.645761e-10,9.390847e-9,102.098,17.318,276985,597232,7,4.128
