tag,distribution,N,variant,adaptive,criterion,eta,dt_fixed,total_wall_s,total_gravity_s,mean_step_wall_s,E0,dE_rel_final,dE_rel_max,dp_rel_final,dp_rel_max,dL_rel_final,dL_rel_max,Q_virial_final,r_hm_final,r_hm_init,mean_active_per_step,dt_min_obs,dt_min_mean,dt_max_obs,dt_max_mean,level_0_count,level_1_count,level_2_count,level_3_count,level_4_count,level_5_count,level_6_count
plummer_a1_N200_fixed_dt00625,plummer_a1,200,fixed_dt00625,False,fixed,,0.00625,16.717886025,16.548240584000002,0.004139756359500001,-4.733251326436598,0.00013612359162176697,0.0010428348771386734,0.9999999999917323,1.0000000000551479,0.00018039475979592012,0.00018337762354828798,0.2325315952897006,0.03607143653566399,0.03569271776038165,,,,,,,,,,,,
plummer_a1_N200_fixed_dt0125,plummer_a1,200,fixed_dt0125,False,fixed,,0.0125,5.221182963,5.185969794,0.00259486288,-4.568017323517772,0.007973384794250882,0.008148109344832555,1.0000000000013431,1.0000000000284097,0.001571367798258017,0.001640727580809516,0.23265630757367858,0.04382127303651093,0.04179944129410949,,,,,,,,,,,,
plummer_a1_N200_fixed_dt025,plummer_a1,200,fixed_dt025,False,fixed,,0.025,2.457244593,2.4329064820000004,0.002434694972,-3.52703324054101,0.4686628905159151,0.4686628905159151,0.9999999999987016,1.0000000000236398,0.07164952223180739,0.07164952223180739,0.33377864885458003,1.029325277386393,0.06370533027527568,,,,,,,,,,,,
plummer_a1_N200_hier_acc_eta001,plummer_a1,200,hier_acc_eta001,True,acc,0.01,,90.355583034,89.93680368300001,0.090297750006,-4.773608513446514,0.012990787415100387,0.012990787415100387,1.0000000000000058,1.000000000003439,0.00046472696914745277,0.0005144288262607835,0.2260971579995659,0.03578781313526944,0.03347618709369733,12311.271,0.000390625,0.0003906250000000001,0.003125,0.0015640625000000003,0.0,0.0,0.0,0.0,0.0,15.0,185.0
plummer_a1_N200_hier_acc_eta002,plummer_a1,200,hier_acc_eta002,True,acc,0.02,,49.635507193,49.338256521000005,0.04956026423900001,-4.774828854593483,0.052290108850055604,0.052290108850055604,1.0000000000000409,1.0000000000022622,0.0038621252493619244,0.005855463041302007,0.24484434165608326,0.0328061560899463,0.03351160658796489,6158.945,0.00078125,0.0007812500000000002,0.0125,0.003260937500000001,0.0,0.0,0.0,1.0,9.0,190.0,0.0
plummer_a1_N200_hier_acc_eta005,plummer_a1,200,hier_acc_eta005,True,acc,0.05,,28.328907452,28.097868927,0.028258978829,-4.77950776159147,0.28323545823959284,0.28323545823959284,1.0000000000000224,1.0000000000002705,0.04086201329412872,0.04670616072769328,0.18245785407599505,0.02278727257238455,0.0334374652792321,2878.166,0.0015625,0.0015625000000000003,0.0125,0.007343750000000001,0.0,0.0,3.0,32.0,165.0,0.0,0.0
plummer_a1_N200_hier_jerk_eta001,plummer_a1,200,hier_jerk_eta001,True,jerk,0.01,,21.005160903,20.735240476,0.020915916746,-3.505471023867167,0.09699359545292104,0.09699359545292104,0.9999999999999954,1.000000000015114,0.7094943909064538,0.7540034577172651,0.29689444334196424,1.2086899539607496,0.05968297934504306,1862.894,0.000390625,0.0005535156250000001,0.025,0.02481875,7.0,3.0,40.0,100.0,48.0,2.0,0.0
plummer_a1_N200_hier_jerk_eta002,plummer_a1,200,hier_jerk_eta002,True,jerk,0.02,,13.466712746,13.258862309000001,0.013375015803,-3.5157167542125944,0.8893906592868548,0.8893906592868548,0.999999999999998,1.000000000015114,0.9753611353361755,1.0351779227481044,0.1350722287991481,1.187267490776997,0.059471148348567156,1200.774,0.000390625,0.0009128906250000002,0.025,0.024987500000000003,8.0,2.0,50.0,125.0,15.0,0.0,0.0
plummer_a1_N200_hier_jerk_eta005,plummer_a1,200,hier_jerk_eta005,True,jerk,0.05,,2.8627063,2.7870163750000003,0.002832705506,-3.71045100645416,1.00574860805033,1.00574860805033,0.9999999999999986,1.000000000015114,1.014926552566645,1.3427644928321023,0.04644309637670697,1.6234732190326644,0.05881314199472807,578.244,0.00078125,0.003031250000000001,0.025,0.025000000000000005,30.0,47.0,120.0,3.0,0.0,0.0,0.0
plummer_a1_N1000_fixed_dt00625,plummer_a1,1000,fixed_dt00625,False,fixed,,0.00625,269.517460747,269.344322798,0.06734652237750001,-4.830388265742491,0.00013759796215942247,0.0005324998866032556,1.0000000000093034,1.000000000050995,4.080412120684793e-05,4.836068980062902e-05,0.24288576609778192,0.039487461958320785,0.038191860041082444,,,,,,,,,,,,
plummer_a1_N1000_fixed_dt0125,plummer_a1,1000,fixed_dt0125,False,fixed,,0.0125,123.660348132,123.54668897100001,0.061784086031500006,-4.673171700834613,0.00036325275273020965,0.0024268536794027117,0.9999999999898906,1.0000000000703757,0.0001248815667778589,0.00012691657879130932,0.2477236197523406,0.039531120955365,0.04072102297689221,,,,,,,,,,,,
plummer_a1_N1000_fixed_dt025,plummer_a1,1000,fixed_dt025,False,fixed,,0.025,55.011093206,54.944713314000005,0.054954688429000004,-3.548709799938882,0.3236689276651252,0.3236689276651252,0.9999999999754088,0.9999999999955438,0.03903935596566527,0.04036658515256534,0.3047384250544069,0.18821987795980105,0.05122193782695209,,,,,,,,,,,,
plummer_a1_N1000_hier_acc_eta001,plummer_a1,1000,hier_acc_eta001,True,acc,0.01,,,,,-4.870452791381133,0.0030747443656915256,0.0030747443656915256,1.0000000000004488,1.0000000001106535,2.4855331643194052e-05,5.1590677116034e-05,0.24557316599043882,0.03771048651757574,0.03781375383322789,62754.828897338404,0.000390625,0.00039062499999999997,0.003125,0.0018209363117870725,0.0,0.0,0.0,0.0,0.0,44.0,956.0
plummer_a1_N1000_hier_acc_eta002,plummer_a1,1000,hier_acc_eta002,True,acc,0.02,,,,,-4.871339243907895,0.02433417723328846,0.02433417723328846,0.9999999999997663,1.0000000000130107,0.0004263752172148539,0.0005670224932116433,0.24914542968098177,0.03556570671544456,0.037813206122702475,31376.28897338403,0.00078125,0.0007812500000000002,0.00625,0.003413141634980989,0.0,0.0,0.0,1.0,44.0,955.0,0.0
plummer_a1_N1000_hier_acc_eta005,plummer_a1,1000,hier_acc_eta005,True,acc,0.05,,450.66142356,450.08273837900003,0.450553049726,-4.87605354021609,0.21546735686361157,0.21546735686361157,1.000000000000029,1.0000000000026585,0.03508939539326823,0.03743599646620836,0.1929465308628636,0.025701923829888403,0.03787995212015552,14969.043,0.0015625,0.0015625000000000003,0.025,0.007343750000000002,0.0,0.0,2.0,111.0,887.0,0.0,0.0
plummer_a1_N1000_hier_jerk_eta001,plummer_a1,1000,hier_jerk_eta001,True,jerk,0.01,,301.557625203,300.85289532900003,0.301448746938,-3.3882076103345162,0.07636970906092784,0.07636970906092784,1.0000000000000049,1.0000000000001408,0.2235655948711774,0.2235655948711774,0.3215519346282083,0.23486331461202573,0.05153753804965659,9098.546,0.000390625,0.0004222656250000001,0.025,0.024968750000000005,18.0,30.0,238.0,494.0,199.0,20.0,1.0
plummer_a1_N1000_hier_jerk_eta002,plummer_a1,1000,hier_jerk_eta002,True,jerk,0.02,,196.040064493,195.51412341000002,0.195932115674,-3.3934356014562512,0.7064687731857083,0.7064687731857083,1.0000000000000155,1.0000000000002511,1.0241332362117312,1.0363047703383907,0.183113907820936,0.22681133790091057,0.05167988479015907,5632.27,0.000390625,0.0007394531250000002,0.025,0.025000000000000005,16.0,24.0,397.0,540.0,21.0,2.0,0.0
plummer_a1_N1000_hier_jerk_eta005,plummer_a1,1000,hier_jerk_eta005,True,jerk,0.05,,80.274812593,79.921229804,0.08016140885100001,-3.6090899740353564,1.1685096239804362,1.1685096239804362,0.9999999999999996,1.0000000000000426,0.9682091971550016,1.0131577511556187,0.05204155067891648,0.25270140889595305,0.045487776068173315,3193.156,0.00078125,0.0028921875000000002,0.025,0.025000000000000005,63.0,175.0,761.0,1.0,0.0,0.0,0.0
plummer_a2_N200_fixed_dt00625,plummer_a2,200,fixed_dt00625,False,fixed,,0.00625,14.420946327,14.364028539000001,0.0035926064817500005,-4.096057903310877,0.000249118759079292,0.0008320087485885662,1.0000000000162288,1.0000000000859954,9.636259920143915e-05,0.00010270488464695001,0.28998876566697207,0.04678684678404285,0.046374986374664466,,,,,,,,,,,,
plummer_a2_N200_fixed_dt0125,plummer_a2,200,fixed_dt0125,False,fixed,,0.0125,5.448949721,5.40950168,0.0027067434885,-4.095427286796104,0.009998385298834754,0.011908863081427183,1.0000000000043583,1.0000000001546092,0.00020686360123637604,0.0002500758700328319,0.2734807508908437,0.049022197041680315,0.0466714852588083,,,,,,,,,,,,
plummer_a2_N200_fixed_dt025,plummer_a2,200,fixed_dt025,False,fixed,,0.025,2.706291379,2.6809822160000003,0.002682969988,-3.9869238504808164,0.36492315326873187,0.36492315326873187,1.0000000000089793,1.000000000009268,0.002047623556268703,0.0022870756676479694,0.30755680544730035,0.11784435407389571,0.060293516830123066,,,,,,,,,,,,
plummer_a2_N200_hier_acc_eta001,plummer_a2,200,hier_acc_eta001,True,acc,0.01,,78.507156524,78.16210464800001,0.07846517151500002,-4.09609337801447,0.010795411230371858,0.010795411230371858,1.0000000000009637,1.000000000034701,0.0001629812399294393,0.0001941497185958962,0.2775417477334451,0.04483652812014615,0.04553708746221037,12307.868,0.000390625,0.0003906250000000001,0.003125,0.0015914062500000004,0.0,0.0,0.0,1.0,2.0,6.0,191.0
plummer_a2_N200_hier_acc_eta002,plummer_a2,200,hier_acc_eta002,True,acc,0.02,,44.21913727,43.999996411000005,0.044183056320000004,-4.097017980606237,0.04055995663956111,0.04055995663956111,0.9999999999999465,1.0000000000062519,0.0013322659558604258,0.0013935177036177434,0.262278794032077,0.04424115566273423,0.045538847277304687,6168.015,0.00078125,0.0007812500000000002,0.00625,0.0032281250000000005,0.0,0.0,0.0,1.0,11.0,188.0,0.0
plummer_a2_N200_hier_acc_eta005,plummer_a2,200,hier_acc_eta005,True,acc,0.05,,23.543149807,23.388261568,0.023512722324000004,-4.101987314257671,0.20936265714426355,0.20936265714426355,0.9999999999999781,1.000000000001105,0.02395933895578853,0.02395933895578853,0.2473821472805897,0.033004147466998424,0.04578862270686035,2847.77,0.0015625,0.0015625000000000003,0.0125,0.006506250000000002,0.0,0.0,0.0,36.0,164.0,0.0,0.0
plummer_a2_N200_hier_jerk_eta001,plummer_a2,200,hier_jerk_eta001,True,jerk,0.01,,15.639392092,15.479341217000002,0.015609323244,-3.972797701619399,0.09781866146273493,0.09781866146273493,0.9999999999999933,1.0000000000011016,0.03914904047338732,0.07010211712833601,0.3037824284837343,0.05021449821444187,0.05259340312375628,1966.815,0.000390625,0.0005589843750000001,0.025,0.015662500000000003,0.0,3.0,31.0,114.0,50.0,2.0,0.0
plummer_a2_N200_hier_jerk_eta002,plummer_a2,200,hier_jerk_eta002,True,jerk,0.02,,9.017777123,8.905569349,0.008984568104000001,-4.000112733844284,0.7039197028626626,0.7039197028626626,1.0000000000000016,1.0000000000002691,0.098535380887852,0.610410079572201,0.13899882422389465,0.017939986519010145,0.05190966306641456,1265.305,0.000390625,0.001004296875,0.025,0.021162500000000004,0.0,3.0,65.0,126.0,6.0,0.0,0.0
plummer_a2_N200_hier_jerk_eta005,plummer_a2,200,hier_jerk_eta005,True,jerk,0.05,,3.4484178,3.376953922,0.003421754169,-4.409273140322138,0.9254266713753277,0.9254266713753277,1.000000000000001,1.0000000000000384,1.3362456696176261,1.751821159728765,0.03745866607459769,0.38325246235565236,0.04120474039653786,652.456,0.0015625,0.003225000000000001,0.025,0.025000000000000005,5.0,35.0,159.0,1.0,0.0,0.0,0.0
plummer_a2_N1000_fixed_dt00625,plummer_a2,1000,fixed_dt00625,False,fixed,,0.00625,238.507563484,238.320732947,0.059590967868750004,-4.151643595788789,0.0002753032894206494,0.0006536288134148742,0.9999999999904893,0.99999999999298,3.404058678206013e-05,4.2892121962559926e-05,0.27983615104293874,0.04865370668865384,0.051341084273150164,,,,,,,,,,,,
plummer_a2_N1000_fixed_dt0125,plummer_a2,1000,fixed_dt0125,False,fixed,,0.0125,121.998061543,121.889261,0.060955599529,-4.145246817963526,0.0008883105814055356,0.0023120275707796483,0.9999999999982621,1.0000000000005453,0.0001254173975266045,0.000135371696500967,0.2782001420781667,0.048552718752834574,0.052262212599551765,,,,,,,,,,,,
plummer_a2_N1000_fixed_dt025,plummer_a2,1000,fixed_dt025,False,fixed,,0.025,60.669963804,60.59897843700001,0.060610219087000004,-4.060140509470237,0.24125509232394923,0.24125509232394923,0.9999999999801195,1.0000000000075684,0.03335316251914196,0.038676582304735065,0.28014561359622625,0.10016830892457103,0.05662788230038898,,,,,,,,,,,,
plummer_a2_N1000_hier_acc_eta001,plummer_a2,1000,hier_acc_eta001,True,acc,0.01,,,,,-4.153227689226662,0.009131843227749578,0.009131843227749578,0.999999999996283,1.0000000001642533,0.00016112888575773327,0.0002040265582303563,0.2745359459977169,0.04833770638430861,0.051130332872968275,62442.163152053276,0.000390625,0.00039062499999999997,0.00625,0.0017593299112097672,0.0,0.0,0.0,0.0,0.0,46.0,954.0
plummer_a2_N1000_hier_acc_eta002,plummer_a2,1000,hier_acc_eta002,True,acc,0.02,,997.536632873,996.5276253950001,0.997423613462,-4.1539635361790435,0.03880139042786652,0.03880139042786652,1.000000000000306,1.0000000000983509,0.0005301782317136862,0.0007124612273636488,0.28076727579762883,0.046253263799055984,0.051130399747402494,31230.643,0.00078125,0.0007812500000000002,0.0125,0.0034187500000000008,0.0,0.0,0.0,2.0,53.0,945.0,0.0
plummer_a2_N1000_hier_acc_eta005,plummer_a2,1000,hier_acc_eta005,True,acc,0.05,,467.609237474,466.992414515,0.46749787865500003,-4.158506160193783,0.1988219236509812,0.1988219236509812,1.0000000000001805,1.0000000000031526,0.027955568868507454,0.028354841530291986,0.23038123336843824,0.03698173437302031,0.05104801853425186,14591.465,0.0015625,0.0015625000000000003,0.025,0.007568750000000002,0.0,0.0,3.0,148.0,849.0,0.0,0.0
plummer_a2_N1000_hier_jerk_eta001,plummer_a2,1000,hier_jerk_eta001,True,jerk,0.01,,319.476576021,318.75339456300003,0.31937268219000003,-4.053265904517168,0.09942705884458476,0.09942705884458476,0.9999999999996159,0.9999999999999238,0.018414952240005656,0.03028176793804029,0.31468128656263783,0.05468951528833257,0.05278851354884984,9824.088,0.000390625,0.00041796875000000005,0.025,0.019550000000000005,1.0,7.0,161.0,569.0,245.0,17.0,0.0
plummer_a2_N1000_hier_jerk_eta002,plummer_a2,1000,hier_jerk_eta002,True,jerk,0.02,,206.132429256,205.62163471600002,0.206021334488,-4.072488452670636,0.5194810036082541,0.5194810036082541,0.9999999999999257,0.9999999999999953,0.32046134980377255,0.4549186103444862,0.1818272034125384,0.026122833984379992,0.05253344563440732,6115.406,0.000390625,0.0007636718750000002,0.025,0.024875000000000008,2.0,18.0,329.0,631.0,20.0,0.0,0.0
plummer_a2_N1000_hier_jerk_eta005,plummer_a2,1000,hier_jerk_eta005,True,jerk,0.05,,76.476273741,76.13250639,0.076364127798,-4.4415437539908265,0.8497257181976006,0.8497257181976006,1.0000000000000042,1.000000000000092,1.0465755709042952,1.937078510635137,0.0607823966312001,0.2449325953056309,0.046206239419178924,3161.794,0.00078125,0.0028968750000000006,0.025,0.025000000000000005,28.0,259.0,713.0,0.0,0.0,0.0,0.0
uniform_N200_fixed_dt00625,uniform,200,fixed_dt00625,False,fixed,,0.00625,9.051560442,8.997793490000001,0.00225105454375,-0.7062010105478721,0.000189402372002366,0.0005107641898709666,1.0,1.0,1.0,1.0,0.4554989318001454,0.6088028545406243,0.6838404635326135,,,,,,,,,,,,
uniform_N200_fixed_dt0125,uniform,200,fixed_dt0125,False,fixed,,0.0125,4.793807558,4.765497751000001,0.0023843973205,-0.7061965909848862,0.0004463513699607348,0.001978554410728377,1.0,1.0,1.0,1.0,0.46129259998398525,0.6592341796997823,0.6838414530267399,,,,,,,,,,,,
uniform_N200_fixed_dt025,uniform,200,fixed_dt025,False,fixed,,0.025,2.262244732,2.238438763,0.002240118543,-0.7061786514263897,0.008229890911667294,0.010986425681872612,1.0,1.0,1.0,1.0,0.4692055940877563,0.7660286942073364,0.6838453947445562,,,,,,,,,,,,
uniform_N200_hier_acc_eta001,uniform,200,hier_acc_eta001,True,acc,0.01,,24.144397738,23.962821359000003,0.024110054583,-0.7062021313328141,0.0018676335606089371,0.0018676335606089371,1.0,1.0,1.0,1.0,0.4414368097101857,0.5857241120965618,0.6838401918063215,3965.312,0.00078125,0.0007953125000000001,0.025,0.022198437500000005,10.0,10.0,10.0,26.0,56.0,88.0,0.0
uniform_N200_hier_acc_eta002,uniform,200,hier_acc_eta002,True,acc,0.02,,12.201654427,12.091613147,0.01217415111,-0.7062008445121255,0.006649950371437067,0.006649950371437067,1.0,1.0,1.0,1.0,0.43523274869503203,0.7221513868169851,0.6838405997480198,1998.297,0.0015625,0.0015921875,0.025,0.023575000000000002,19.0,12.0,24.0,63.0,82.0,0.0,0.0
uniform_N200_hier_acc_eta005,uniform,200,hier_acc_eta005,True,acc,0.05,,4.354361453,4.2850782810000005,0.004329766204000001,-0.7062011337600046,0.021052046431254155,0.021100824820196314,1.0,1.0,1.0,1.0,0.44846335853585606,0.6831224082109194,0.6838423487929807,693.858,0.003125,0.0035343750000000006,0.025,0.02469375,36.0,36.0,102.0,26.0,0.0,0.0,0.0
uniform_N200_hier_jerk_eta001,uniform,200,hier_jerk_eta001,True,jerk,0.01,,5.965174574,5.869080301,0.005941640831,-0.7061750729035713,0.0313746309877053,0.0313746309877053,1.0,1.0,1.0,1.0,0.44602290224206115,0.7100341874106987,0.6838449384331761,877.337,0.000390625,0.0013289062500000002,0.025,0.024737500000000003,31.0,32.0,98.0,36.0,2.0,1.0,0.0
uniform_N200_hier_jerk_eta002,uniform,200,hier_jerk_eta002,True,jerk,0.02,,2.749302034,2.684907674,0.002727499474,-0.706148591315464,0.017262029228736712,0.01893708435998904,1.0,1.0,1.0,1.0,0.4728861738214466,0.7407297551962718,0.6838445557271564,447.665,0.000390625,0.0026722656250000006,0.025,0.025000000000000005,65.0,90.0,39.0,6.0,0.0,0.0,0.0
uniform_N200_hier_jerk_eta005,uniform,200,hier_jerk_eta005,True,jerk,0.05,,1.906763807,1.8497601140000002,0.0018850537770000002,-0.7061790255805115,4.132955463446732,4.132955463446732,1.0,1.0,1.0,1.0,0.1738472452911173,0.5819105872830275,0.6838444096171875,322.273,0.0015625,0.0054843750000000005,0.025,0.025000000000000005,58.0,79.0,61.0,2.0,0.0,0.0,0.0
uniform_N1000_fixed_dt00625,uniform,1000,fixed_dt00625,False,fixed,,0.00625,208.213539269,208.03907351700002,0.05202015166775001,-0.6150134637991618,0.00019247016771813444,0.0007503681257615563,1.0,1.0,1.0,1.0,0.4704090330664215,0.6579835487805269,0.7855392689190305,,,,,,,,,,,,
uniform_N1000_fixed_dt0125,uniform,1000,fixed_dt0125,False,fixed,,0.0125,108.322040148,108.22825880600001,0.05412331415800001,-0.615011351811738,0.00039179795780936333,0.003013391366358779,1.0,1.0,1.0,1.0,0.4648074692058758,0.6616741717010042,0.7855390563051965,,,,,,,,,,,,
uniform_N1000_fixed_dt025,uniform,1000,fixed_dt025,False,fixed,,0.025,49.424828088,49.354884711000004,0.049364773262,-0.6150028984928403,0.0032758524192733024,0.011827556041959833,1.0,1.0,1.0,1.0,0.45717837473171036,0.6472137964409728,0.7855381957975622,,,,,,,,,,,,
uniform_N1000_hier_acc_eta001,uniform,1000,hier_acc_eta001,True,acc,0.01,,470.892796635,470.035957595,0.470792914165,-0.6150139678750979,0.0011879444034049267,0.0011879444034049267,1.0,1.0,1.0,1.0,0.45977808884865035,0.6562715991072504,0.7855393286926772,16648.504,0.00078125,0.0008359375000000001,0.025,0.0223578125,29.0,28.0,84.0,176.0,428.0,255.0,0.0
uniform_N1000_hier_acc_eta002,uniform,1000,hier_acc_eta002,True,acc,0.02,,262.147095667,261.583522239,0.26205563148300004,-0.6150133698487086,0.004451268349067219,0.004451268349067219,1.0,1.0,1.0,1.0,0.4525219469407108,0.6604876530560537,0.785539291164698,8450.601,0.0015625,0.0016718750000000002,0.025,0.023921875000000002,55.0,88.0,169.0,427.0,261.0,0.0,0.0
uniform_N1000_hier_acc_eta005,uniform,1000,hier_acc_eta005,True,acc,0.05,,105.109792505,104.762992376,0.10501003918,-0.6150091956222389,0.014067715684477355,0.014067715684477355,1.0,1.0,1.0,1.0,0.4505480122193592,0.6541968325160795,0.785520132300696,3006.003,0.003125,0.005406250000000002,0.025,0.024675000000000006,196.0,226.0,578.0,0.0,0.0,0.0,0.0
uniform_N1000_hier_jerk_eta001,uniform,1000,hier_jerk_eta001,True,jerk,0.01,,113.776376352,113.33503920300001,0.113689296492,-0.6150041194463417,0.01942237912346966,0.01942237912346966,1.0,1.0,1.0,1.0,0.4674365072031254,0.6561640119384338,0.7855380022523821,3717.334,0.000390625,0.00111953125,0.025,0.024825000000000003,129.0,308.0,436.0,114.0,13.0,0.0,0.0
uniform_N1000_hier_jerk_eta002,uniform,1000,hier_jerk_eta002,True,jerk,0.02,,54.211252336,53.882095303,0.054116123530000004,-0.6150028787054433,0.001309591109837575,0.0024079290075300474,1.0,1.0,1.0,1.0,0.4531713679762559,0.6560794842398652,0.7855381898859946,1918.499,0.000390625,0.002264843750000001,0.025,0.025000000000000005,459.0,418.0,111.0,12.0,0.0,0.0,0.0
uniform_N1000_hier_jerk_eta005,uniform,1000,hier_jerk_eta005,True,jerk,0.05,,34.4446028,34.198849774,0.034358086376000005,-0.6150028984928402,2.3576201119823517,2.3576201119823517,1.0,1.0,1.0,1.0,0.28024371206944854,0.4601494626481057,0.7855381957975591,1373.06,0.0015625,0.005665625000000002,0.025,0.025000000000000005,447.0,539.0,14.0,0.0,0.0,0.0,0.0
